osmid,name,highway,maxspeed,width,oneway,reversed,length,lanes,geometry,service,ref,access,tunnel,bridge,junction
156208764,,footway,,,False,True,22.618000000000002,,"LINESTRING (7.3732079 51.486829, 7.3731751 51.4867761, 7.3731447 51.4867088, 7.3731346 51.4866689, 7.3731356 51.4866325)",,,,,,
5353012,,path,,,False,False,8.994,,"LINESTRING (7.3781925 51.4870113, 7.3782573 51.4870814)",,,,,,
"[5353012, 5045687]",Hedwigstraße,"['path', 'residential']",30,,False,True,38.711,,"LINESTRING (7.3781925 51.4870113, 7.37815 51.4870046, 7.3779948 51.4868342, 7.3778527 51.486746)",,,,,,
1038146460,,footway,,,False,False,250.82199999999997,,"LINESTRING (7.3781925 51.4870113, 7.3782066 51.4870071, 7.3779997 51.486765, 7.3776572 51.4863688, 7.3772868 51.4859401, 7.3768093 51.4853931, 7.3765304 51.4850682, 7.376521 51.4850432, 7.3765269 51.4850253)",,,,,,
1038146460,,footway,,,False,True,164.72199999999995,,"LINESTRING (7.3781925 51.4870113, 7.3781148 51.4870343, 7.3779823 51.4868777, 7.3779561 51.4868595, 7.3779261 51.4868494, 7.3778906 51.486848, 7.3778483 51.4868557, 7.3778182 51.4868701, 7.3776077 51.487004, 7.3774829 51.4870839, 7.3773882 51.4871582, 7.3773325 51.4872045, 7.3772458 51.487291, 7.3771661 51.487377, 7.3771131 51.4874475, 7.3770759 51.4875097, 7.3770493 51.4875841, 7.3770493 51.4876365, 7.3770555 51.4876838, 7.3770812 51.487723, 7.3771148 51.4877472, 7.3771785 51.4877659, 7.3772437 51.4877674)",,,,,,
23494140,Steinsweg,secondary,50,,False,True,17.291,3,"LINESTRING (7.3789208 51.4873793, 7.3787893 51.4875115)",,,,,,
52716669,Borussiastraße,residential,30,,True,False,15.572,,"LINESTRING (7.3789208 51.4873793, 7.3789172 51.4874362, 7.3789415 51.4874892, 7.3789646 51.4875132)",,,,,,
"[368617273, 368617275]",Steinsweg,secondary,50,,False,False,67.679,"['2', '3']","LINESTRING (7.3789208 51.4873793, 7.3790288 51.4872919, 7.3791538 51.4871982, 7.3793022 51.4870999, 7.3795291 51.4869643, 7.3795858 51.4869351)",,,,,,
52716679,,footway,,,False,False,2.575,,"LINESTRING (7.3778594 51.4875644, 7.3778488 51.4875866)",,,,,,
45090418,,footway,,,False,True,61.439,,"LINESTRING (7.3778594 51.4875644, 7.3782286 51.4875186, 7.3782603 51.4875089, 7.3784201 51.4874058, 7.37842 51.4873631, 7.3783934 51.4872994, 7.3784146 51.4872571)",,,,,,
"[87851238, 52716679, 45090417, 87851224, 52716665]",,"['footway', 'steps']",,,False,True,39.321,,"LINESTRING (7.3778594 51.4875644, 7.3779061 51.4874679, 7.3779326 51.4874113, 7.3779498 51.4873747, 7.3779672 51.4873068, 7.3779761 51.487272, 7.3779892 51.4872209)",,,,yes,,
27173808,Kleybredde,residential,30,,False,True,12.108,1,"LINESTRING (7.3729485 51.4879824, 7.3727744 51.4879926)",,,,,,
156519616,Kleybredde,service,,,False,False,41.736,,"LINESTRING (7.3729485 51.4879824, 7.3729777 51.4883573)",,,permissive,,,
27173808,Kleybredde,residential,30,,False,False,48.455000000000005,1,"LINESTRING (7.3729485 51.4879824, 7.3731441 51.4879748, 7.3736058 51.487957, 7.3736469 51.4879547)",,,,,,
316437992,Wulfshofstraße,unclassified,50,,True,False,29.602,2,"LINESTRING (7.3749467 51.4934847, 7.3751177 51.4932407)",,,,,,
24623608,Brennaborstraße,unclassified,50,,True,False,34.838,1,"LINESTRING (7.3749467 51.4934847, 7.3749623 51.4933014, 7.3749602 51.4932357, 7.3749437 51.4931725)",,,,,,
316437995,Wulfshofstraße,unclassified,50,,True,False,14.165,3,"LINESTRING (7.3743312 51.4946165, 7.3742488 51.4947331)",,,,,,
52789223,Wulfshofstraße,residential,50,,True,False,22.021,1,"LINESTRING (7.3743312 51.4946165, 7.37416 51.494665, 7.3741171 51.4946774, 7.3740353 51.494685)",,,,,,
52789235,,service,,,True,False,21.667,,"LINESTRING (7.3724287 51.4964462, 7.3727046 51.4965382)",,,,,,
52789221,,service,,,True,False,74.903,2,"LINESTRING (7.3727718 51.4966442, 7.3726603 51.4965916, 7.3725309 51.4965623, 7.3720577 51.4964612, 7.3720177 51.4964378, 7.3719989 51.496407, 7.3719895 51.496385, 7.3719918 51.4963454, 7.372041 51.496294)",,,,,,
987789451,,service,,,True,False,95.634,,"LINESTRING (7.3727718 51.4966442, 7.3723031 51.4965487, 7.3719382 51.4964824, 7.3718671 51.4964565, 7.3717981 51.4963943, 7.3717915 51.4963514, 7.3718163 51.4962936, 7.3719026 51.4962257)",,,,,,
52789235,,service,,,True,False,23.685,,"LINESTRING (7.3727046 51.4965382, 7.372734 51.496548, 7.3728919 51.4965789, 7.3730317 51.4965984)",,,,,,
368621023,,service,50,,True,False,47.836999999999996,2,"LINESTRING (7.3730317 51.4965984, 7.373106 51.4966182, 7.373383 51.4966552, 7.3734771 51.49664, 7.3735652 51.4966129, 7.3736279 51.496541)",,,,,,
52789228,,service,,,True,False,13.183,,"LINESTRING (7.3732903 51.4957935, 7.3731698 51.4958853)",,,,,,
368621023,,service,50,,True,False,9.399,2,"LINESTRING (7.3732903 51.4957935, 7.3732622 51.4958762)",,,,,,
52789229,,service,,,True,False,4.292,,"LINESTRING (7.3732622 51.4958762, 7.373223 51.4959061)",,,,,,
368621023,,service,50,,True,False,4.535,2,"LINESTRING (7.3732622 51.4958762, 7.3732486 51.4959161)",,,,,,
24204633,,service,,,True,False,379.087,2,"LINESTRING (7.3685698 51.4940512, 7.3686291 51.4939916, 7.3686671 51.4939643, 7.3687592 51.4938981, 7.3700117 51.4929578, 7.370089 51.4929258, 7.37018 51.492928, 7.3702874 51.4929543, 7.3707043 51.4931656, 7.3709437 51.493313, 7.3716206 51.4936618, 7.3725129 51.4941136)",,,,,,
"[1031890704, 1031890705]",,service,,,False,False,83.1,,"LINESTRING (7.3685698 51.4940512, 7.3693041 51.494423, 7.3695011 51.4945227)",,,,,,
24204633,,service,,,True,False,10.405,2,"LINESTRING (7.3685348 51.4941417, 7.3685388 51.4941125, 7.3685698 51.4940512)",,,,,,
"[330572048, 330572047]",,footway,,,False,False,34.912,,"LINESTRING (7.3685348 51.4941417, 7.3685718 51.4941533, 7.3688651 51.494303, 7.3689341 51.4943324)",,,,,,
"[330572048, 52791346]",,footway,,,False,True,16.962,,"LINESTRING (7.3685348 51.4941417, 7.3684876 51.494127, 7.3683073 51.4940855)",,,,,,
24204633,,service,,,True,False,42.135999999999996,2,"LINESTRING (7.368651 51.4945124, 7.3685994 51.4943758, 7.3685478 51.4942248, 7.3685306 51.4941675, 7.3685348 51.4941417)",,,,,,
52791344,,service,,,False,False,28.546999999999997,,"LINESTRING (7.368651 51.4945124, 7.3687267 51.4944922, 7.3689341 51.4943324)",parking_aisle,,,,,
52791344,,service,,,False,False,15.604,,"LINESTRING (7.3689341 51.4943324, 7.3691107 51.4944196)",parking_aisle,,,,,
